MW365527.2,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW711409.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Xanthomonadales', ' Xanthomonadaceae', ' Stenotrophomonas', 'Stenotrophomonas sp.'
MW711408.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', 'Enterobacteriaceae bacterium'
MW711407.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Xanthomonadales', ' Xanthomonadaceae', ' Stenotrophomonas', 'Stenotrophomonas sp.'
MW711405.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Xanthomonadales', ' Xanthomonadaceae', ' Stenotrophomonas', 'Stenotrophomonas sp.'
MW711396.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Xanthomonadales', ' Xanthomonadaceae', ' Stenotrophomonas', ' Stenotrophomonas maltophilia group', 'Stenotrophomonas maltophilia'
MW709915.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Oceanospirillales', ' Alcanivoracaceae', ' Alcanivorax', 'Alcanivorax dieselolei'
MW709911.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Alteromonadaceae', ' Marinobacter', 'Marinobacter alkaliphilus'
MW709883.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Xanthomonadales', ' Xanthomonadaceae', ' Stenotrophomonas', 'Stenotrophomonas sp.'
MW709645.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Yersiniaceae', ' Serratia', 'Serratia marcescens'
MW709644.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Shigella', 'Shigella flexneri'
MW709643.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Morganellaceae', ' Providencia', 'Providencia vermicola'
MW709642.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Morganellaceae', ' Providencia', 'Providencia vermicola'
MW709641.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Shigella', 'Shigella flexneri'
MW709640.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Alcaligenaceae', ' Alcaligenes', 'Alcaligenes faecalis'
MW709639.1,'Bacteria', ' Proteobacteria', ' Betaproteobacteria', ' Burkholderiales', ' Alcaligenaceae', ' Alcaligenes', 'Alcaligenes faecalis'
MW709593.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Enterobacter', 'Enterobacter sp.'
MW709529.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Klebsiella', 'Klebsiella pneumoniae'
MW709519.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhizobiales', ' Methylobacteriaceae', ' Microvirga', ' unclassified Microvirga', 'Microvirga sp.'
MW709516.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Moraxellaceae', ' Psychrobacter', 'Psychrobacter sp.'
MW709513.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', ' Paracoccus', 'Paracoccus sp.'
MW709444.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Pectobacteriaceae', ' Pectobacterium', 'Pectobacterium carotovorum'
MW709443.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Pectobacteriaceae', ' Pectobacterium', 'Pectobacterium brasiliense'
MW709436.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhizobiales', ' Hyphomicrobiaceae', ' Devosia', 'Devosia sp.'
MW709434.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', ' Thioclava', ' unclassified Thioclava', 'Thioclava sp.'
MW709395.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Oceanospirillales', ' Halomonadaceae', ' Zymobacter group', ' Candidatus Portiera', 'Candidatus Portiera aleyrodidarum'
MW704276.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Erwiniaceae', ' Pantoea', 'Pantoea stewartii'
MW704275.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Oceanospirillales', ' Alcanivoracaceae', ' Alcanivorax', ' unclassified Alcanivorax', 'Alcanivorax sp.'
MW704274.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodospirillales', ' Rhodospirillaceae', ' Thalassospira', ' unclassified Thalassospira', 'Thalassospira sp.'
MW704273.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Idiomarinaceae', ' Idiomarina', 'Idiomarina sp.'
MW704272.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Cellvibrionales', ' Cellvibrionaceae', ' Marinimicrobium', ' unclassified Marinimicrobium', 'Marinimicrobium sp.'
MW704271.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Idiomarinaceae', ' Idiomarina', 'Idiomarina sp.'
MW704270.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Pseudoalteromonadaceae', ' Pseudoalteromonas', 'Pseudoalteromonas sp.'
MW704269.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Pseudoalteromonadaceae', ' Pseudoalteromonas', 'Pseudoalteromonas sp.'
MW704268.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Cellvibrionales', ' Cellvibrionaceae', ' Marinimicrobium', ' unclassified Marinimicrobium', 'Marinimicrobium sp.'
MW704267.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodospirillales', ' Rhodospirillaceae', ' Thalassospira', ' unclassified Thalassospira', 'Thalassospira sp.'
MW704266.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Erythrobacteraceae', ' Erythrobacter/Porphyrobacter group', ' Erythrobacter', ' unclassified Erythrobacter', 'Erythrobacter sp.'
MW704265.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Pseudoalteromonadaceae', ' Pseudoalteromonas', 'Pseudoalteromonas sp.'
MW704264.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW704263.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW704262.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', ' Pseudooceanicola', 'Pseudooceanicola sp.'
MW704261.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Oceanospirillales', ' Halomonadaceae', ' Halomonas', 'Halomonas sp.'
MW704260.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Idiomarinaceae', ' Idiomarina', 'Idiomarina sp.'
MW704259.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Cellvibrionales', ' Cellvibrionaceae', ' Marinimicrobium', ' unclassified Marinimicrobium', 'Marinimicrobium sp.'
MW704258.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Vibrionales', ' Vibrionaceae', ' Vibrio', 'Vibrio sp.'
MW704257.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Oceanospirillales', ' Alcanivoracaceae', ' Alcanivorax', ' unclassified Alcanivorax', 'Alcanivorax sp.'
MW704256.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Vibrionales', ' Vibrionaceae', ' Vibrio', 'Vibrio sp.'
MW704255.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Vibrionales', ' Vibrionaceae', ' Vibrio', 'Vibrio sp.'
MW704254.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Vibrionales', ' Vibrionaceae', ' Vibrio', 'Vibrio sp.'
MW704253.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', ' Epibacterium', ' unclassified Epibacterium', 'Epibacterium sp.'
MW704252.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', ' Epibacterium', ' unclassified Epibacterium', 'Epibacterium sp.'
MW704251.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Cellvibrionales', ' Cellvibrionaceae', ' Marinimicrobium', ' unclassified Marinimicrobium', 'Marinimicrobium sp.'
MW704250.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodospirillales', ' Rhodospirillaceae', ' Thalassospira', ' unclassified Thalassospira', 'Thalassospira sp.'
MW704249.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Oceanospirillales', ' Alcanivoracaceae', ' Alcanivorax', ' unclassified Alcanivorax', 'Alcanivorax sp.'
MW704248.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Cellvibrionales', ' Cellvibrionaceae', ' Marinimicrobium', ' unclassified Marinimicrobium', 'Marinimicrobium sp.'
MW704247.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Idiomarinaceae', ' Idiomarina', 'Idiomarina sp.'
MW704246.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Alteromonadaceae', ' Alteromonas', 'Alteromonas sp.'
MW704245.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Pseudoalteromonadaceae', ' Pseudoalteromonas', 'Pseudoalteromonas sp.'
MW704244.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Alteromonadaceae', ' Alteromonas', 'Alteromonas sp.'
MW704243.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', ' Epibacterium', ' unclassified Epibacterium', 'Epibacterium sp.'
MW704242.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', ' Epibacterium', ' unclassified Epibacterium', 'Epibacterium sp.'
MW704241.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Cellvibrionales', ' Cellvibrionaceae', ' Marinimicrobium', ' unclassified Marinimicrobium', 'Marinimicrobium sp.'
MW704240.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', ' Epibacterium', ' unclassified Epibacterium', 'Epibacterium sp.'
MW704238.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', ' Epibacterium', ' unclassified Epibacterium', 'Epibacterium sp.'
MW704237.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Erythrobacteraceae', ' Erythrobacter/Porphyrobacter group', ' Erythrobacter', ' unclassified Erythrobacter', 'Erythrobacter sp.'
MW704236.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', ' Epibacterium', ' unclassified Epibacterium', 'Epibacterium sp.'
MW704235.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', ' Roseovarius', 'Roseovarius sp.'
MW704233.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Oceanospirillales', ' Halomonadaceae', ' Halomonas', 'Halomonas sp.'
MW704232.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Alteromonadaceae', ' Marinobacter', 'Marinobacter sp.'
MW704231.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Alteromonadaceae', ' Alteromonas', 'Alteromonas sp.'
MW704230.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Alteromonadaceae', ' Alteromonas', 'Alteromonas sp.'
MW704229.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Oceanospirillales', ' Halomonadaceae', ' Halomonas', 'Halomonas sp.'
MW704228.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Oceanospirillales', ' Halomonadaceae', ' Halomonas', 'Halomonas sp.'
MW704227.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', ' Roseovarius', 'Roseovarius sp.'
MW704226.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW704225.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodospirillales', ' Rhodospirillaceae', ' Thalassospira', ' unclassified Thalassospira', 'Thalassospira sp.'
MW704224.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodospirillales', ' Rhodospirillaceae', ' Thalassospira', ' unclassified Thalassospira', 'Thalassospira sp.'
MW704223.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW704222.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodospirillales', ' Rhodospirillaceae', ' Thalassospira', ' unclassified Thalassospira', 'Thalassospira sp.'
MW704221.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodospirillales', ' Rhodospirillaceae', ' Thalassospira', ' unclassified Thalassospira', 'Thalassospira sp.'
MW704220.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW704219.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Oceanospirillales', ' Alcanivoracaceae', ' Alcanivorax', ' unclassified Alcanivorax', 'Alcanivorax sp.'
MW704218.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Oceanospirillales', ' Halomonadaceae', ' Halomonas', 'Halomonas sp.'
MW704217.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Alteromonadaceae', ' Alteromonas', 'Alteromonas sp.'
MW704216.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Oceanospirillales', ' Halomonadaceae', ' Halomonas', 'Halomonas sp.'
MW704215.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW704214.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW704213.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhizobiales', ' Aurantimonadaceae', ' Aurantimonas', ' unclassified Aurantimonas', 'Aurantimonas sp.'
